epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,19082.8,1.50186,1.53052,1.46009,0.66342,0.56873,0.61688,0.32855,1.69115,1.61089,1.49985,0.000383339,0.000383339,0.000383339
117,19597.8,1.49664,1.52643,1.45991,0.66695,0.56873,0.61776,0.32872,1.69184,1.61058,1.50026,0.000375717,0.000375717,0.000375717
118,20113.7,1.49332,1.52756,1.454,0.66073,0.5734,0.61819,0.32873,1.69191,1.60993,1.50048,0.000368127,0.000368127,0.000368127
119,20629.2,1.48911,1.51216,1.45449,0.66113,0.57432,0.61817,0.32884,1.69244,1.60968,1.50065,0.000360568,0.000360568,0.000360568
120,21151.1,1.49482,1.51161,1.45793,0.65477,0.57856,0.61864,0.32897,1.693,1.60904,1.50127,0.000353045,0.000353045,0.000353045
121,21664.6,1.48927,1.51187,1.45617,0.65516,0.57831,0.61789,0.32903,1.69294,1.60949,1.50158,0.000345557,0.000345557,0.000345557
122,22180.4,1.48041,1.50406,1.44752,0.65903,0.57654,0.61818,0.32873,1.69333,1.60942,1.50223,0.000338107,0.000338107,0.000338107
123,22696.2,1.48453,1.50646,1.44977,0.65514,0.57904,0.61775,0.32864,1.69395,1.61004,1.50301,0.000330698,0.000330698,0.000330698
124,23211.6,1.48245,1.50486,1.44799,0.65536,0.57897,0.61768,0.32859,1.69381,1.61012,1.50339,0.00032333,0.00032333,0.00032333
125,23736.4,1.47803,1.49521,1.4451,0.65517,0.57977,0.61766,0.3287,1.69426,1.60595,1.50364,0.000316006,0.000316006,0.000316006
126,24250.6,1.48012,1.49598,1.44496,0.6583,0.57851,0.61783,0.32851,1.69456,1.60355,1.50386,0.000308727,0.000308727,0.000308727
127,24762.4,1.47694,1.48586,1.4434,0.65833,0.57777,0.61826,0.32892,1.69545,1.60107,1.50448,0.000301496,0.000301496,0.000301496
128,25277.5,1.47561,1.48822,1.44229,0.66012,0.577,0.61774,0.32875,1.6959,1.60136,1.50513,0.000294313,0.000294313,0.000294313
129,25792.6,1.46971,1.47529,1.44037,0.66189,0.57618,0.61778,0.32869,1.69703,1.59857,1.50575,0.000287182,0.000287182,0.000287182
130,26317.7,1.47214,1.48568,1.43987,0.66481,0.57349,0.61795,0.32847,1.69784,1.59819,1.50679,0.000280102,0.000280102,0.000280102
131,26832.3,1.46914,1.47294,1.43689,0.66167,0.57492,0.6174,0.32818,1.69853,1.59731,1.50731,0.000273077,0.000273077,0.000273077
132,27348.4,1.46249,1.46377,1.43302,0.66208,0.57535,0.61758,0.32839,1.69913,1.59555,1.50779,0.000266108,0.000266108,0.000266108
133,27865.1,1.46172,1.46563,1.43466,0.65792,0.57784,0.61732,0.32829,1.69957,1.59443,1.50816,0.000259197,0.000259197,0.000259197
134,28378.4,1.4651,1.46619,1.43389,0.66011,0.57757,0.61791,0.32827,1.70066,1.59325,1.50872,0.000252345,0.000252345,0.000252345
135,28902.4,1.46153,1.46339,1.43135,0.66128,0.57686,0.61729,0.32792,1.70178,1.59143,1.50969,0.000245555,0.000245555,0.000245555
136,29417.7,1.46031,1.45912,1.42975,0.66334,0.57439,0.61666,0.32767,1.70329,1.59106,1.51047,0.000238827,0.000238827,0.000238827
137,29933.8,1.46094,1.45432,1.42969,0.66322,0.57339,0.61684,0.32782,1.70452,1.59177,1.51074,0.000232163,0.000232163,0.000232163
138,30458.5,1.46266,1.46434,1.43188,0.66522,0.57329,0.61765,0.32785,1.7056,1.59003,1.51177,0.000225566,0.000225566,0.000225566
139,30973.5,1.46177,1.45369,1.43106,0.66283,0.57488,0.61722,0.32743,1.70686,1.58809,1.51223,0.000219036,0.000219036,0.000219036
140,31497.2,1.45226,1.44282,1.42219,0.66001,0.57691,0.61755,0.3275,1.70752,1.58733,1.51269,0.000212576,0.000212576,0.000212576
141,32009.8,1.45452,1.44317,1.42363,0.65969,0.57804,0.61718,0.32747,1.70822,1.58798,1.51329,0.000206187,0.000206187,0.000206187
